ThreadPool initialized
Core initialized : 0
Core initialized : 1
Core initialized : 2
Core initialized : 3
System initialized
EventQueue initialized
Sim initialized
Metric initialized

Simulation starting...

|-----------------------------------------------------|
|simTime   |eventType           |requestId |coreId    |
|262       |DEPARTURE           |94        |3         |
|262       |PREEMPTION          |58        |1         |
|262       |PREEMPTION          |28        |0         |
|262       |CONTEXT_SWITCH      |2         |1         |
|262       |CONTEXT_SWITCH      |0         |0         |
|262       |CONTEXT_SWITCH      |90        |3         |
|262       |CONTEXT_SWITCH      |91        |2         |
|263       |ARRIVAL             |95        |-1        |
|263       |ARRIVAL             |94        |-1        |
|267       |DEPARTURE           |90        |3         |
|267       |DEPARTURE           |91        |2         |
|267       |DEPARTURE           |2         |1         |
|267       |DEPARTURE           |0         |0         |
|267       |CONTEXT_SWITCH      |62        |1         |
|267       |CONTEXT_SWITCH      |30        |0         |
|267       |CONTEXT_SWITCH      |87        |2         |
|267       |CONTEXT_SWITCH      |86        |3         |
|268       |ARRIVAL             |90        |-1        |
|268       |ARRIVAL             |0         |-1        |
|268       |ARRIVAL             |2         |-1        |
|268       |ARRIVAL             |91        |-1        |
|272       |DEPARTURE           |86        |3         |
|272       |DEPARTURE           |87        |2         |
|272       |DEPARTURE           |62        |1         |
|272       |DEPARTURE           |30        |0         |
|272       |CONTEXT_SWITCH      |96        |1         |
|272       |CONTEXT_SWITCH      |97        |0         |
|272       |CONTEXT_SWITCH      |83        |2         |
|272       |CONTEXT_SWITCH      |82        |3         |
|273       |ARRIVAL             |86        |-1        |
|273       |ARRIVAL             |30        |-1        |
|273       |ARRIVAL             |62        |-1        |
|273       |ARRIVAL             |87        |-1        |
|277       |DEPARTURE           |82        |3         |
|277       |DEPARTURE           |83        |2         |
|277       |DEPARTURE           |96        |1         |
|277       |DEPARTURE           |97        |0         |
|277       |CONTEXT_SWITCH      |59        |1         |
|277       |CONTEXT_SWITCH      |60        |0         |
|277       |CONTEXT_SWITCH      |79        |2         |
|277       |CONTEXT_SWITCH      |78        |3         |
|278       |ARRIVAL             |82        |-1        |
|278       |ARRIVAL             |97        |-1        |
|278       |ARRIVAL             |96        |-1        |
|278       |ARRIVAL             |83        |-1        |
|282       |DEPARTURE           |78        |3         |
|282       |DEPARTURE           |79        |2         |
|282       |DEPARTURE           |59        |1         |
|282       |DEPARTURE           |60        |0         |
|282       |CONTEXT_SWITCH      |92        |1         |
|282       |CONTEXT_SWITCH      |93        |0         |
|282       |CONTEXT_SWITCH      |75        |2         |
|282       |CONTEXT_SWITCH      |74        |3         |
|283       |ARRIVAL             |78        |-1        |
|283       |ARRIVAL             |60        |-1        |
|283       |ARRIVAL             |59        |-1        |
|283       |ARRIVAL             |79        |-1        |
|287       |DEPARTURE           |74        |3         |
|287       |DEPARTURE           |75        |2         |
|287       |DEPARTURE           |92        |1         |
|287       |DEPARTURE           |93        |0         |
|287       |CONTEXT_SWITCH      |88        |1         |
|287       |CONTEXT_SWITCH      |89        |0         |
|287       |CONTEXT_SWITCH      |71        |2         |
|287       |CONTEXT_SWITCH      |70        |3         |
|288       |ARRIVAL             |74        |-1        |
|288       |ARRIVAL             |93        |-1        |
|288       |ARRIVAL             |92        |-1        |
|288       |ARRIVAL             |75        |-1        |
|292       |DEPARTURE           |70        |3         |
|292       |DEPARTURE           |71        |2         |
|292       |DEPARTURE           |88        |1         |
|292       |DEPARTURE           |89        |0         |
|292       |CONTEXT_SWITCH      |84        |1         |
|292       |CONTEXT_SWITCH      |85        |0         |
|292       |CONTEXT_SWITCH      |67        |2         |
|292       |CONTEXT_SWITCH      |66        |3         |
|293       |ARRIVAL             |70        |-1        |
|293       |ARRIVAL             |89        |-1        |
|293       |ARRIVAL             |88        |-1        |
|293       |ARRIVAL             |71        |-1        |
|297       |DEPARTURE           |66        |3         |
|297       |DEPARTURE           |67        |2         |
|297       |DEPARTURE           |84        |1         |
|297       |DEPARTURE           |85        |0         |
|297       |CONTEXT_SWITCH      |80        |1         |
|297       |CONTEXT_SWITCH      |81        |0         |
|297       |CONTEXT_SWITCH      |63        |2         |
|297       |CONTEXT_SWITCH      |13        |3         |
|298       |ARRIVAL             |66        |-1        |
|298       |ARRIVAL             |85        |-1        |
|298       |ARRIVAL             |84        |-1        |
|298       |ARRIVAL             |67        |-1        |
|302       |DEPARTURE           |13        |3         |
|302       |DEPARTURE           |63        |2         |
|302       |DEPARTURE           |80        |1         |
|302       |DEPARTURE           |81        |0         |
|302       |CONTEXT_SWITCH      |76        |1         |
|302       |CONTEXT_SWITCH      |77        |0         |
|302       |CONTEXT_SWITCH      |27        |2         |
|302       |CONTEXT_SWITCH      |57        |3         |
|303       |ARRIVAL             |13        |-1        |
|303       |ARRIVAL             |81        |-1        |
|303       |ARRIVAL             |80        |-1        |
|303       |ARRIVAL             |63        |-1        |
|307       |DEPARTURE           |77        |0         |
|307       |DEPARTURE           |76        |1         |
|307       |CONTEXT_SWITCH      |73        |0         |
|307       |CONTEXT_SWITCH      |72        |1         |
|308       |ARRIVAL             |76        |-1        |
|308       |ARRIVAL             |77        |-1        |
|312       |DEPARTURE           |73        |0         |
|312       |DEPARTURE           |72        |1         |
|312       |PREEMPTION          |27        |2         |
|312       |PREEMPTION          |57        |3         |
|312       |CONTEXT_SWITCH      |56        |2         |
|312       |CONTEXT_SWITCH      |55        |3         |
|312       |CONTEXT_SWITCH      |68        |1         |
|312       |CONTEXT_SWITCH      |69        |0         |
|313       |ARRIVAL             |73        |-1        |
|313       |ARRIVAL             |72        |-1        |
|317       |DEPARTURE           |68        |1         |
|317       |DEPARTURE           |69        |0         |
|317       |CONTEXT_SWITCH      |64        |1         |
|317       |CONTEXT_SWITCH      |65        |0         |
|318       |ARRIVAL             |69        |-1        |
|318       |ARRIVAL             |68        |-1        |
|322       |DEPARTURE           |64        |1         |
|322       |DEPARTURE           |65        |0         |
|322       |PREEMPTION          |56        |2         |
|322       |PREEMPTION          |55        |3         |
|322       |CONTEXT_SWITCH      |54        |2         |
|322       |CONTEXT_SWITCH      |53        |3         |
|322       |CONTEXT_SWITCH      |28        |0         |
|322       |CONTEXT_SWITCH      |58        |1         |
|323       |ARRIVAL             |64        |-1        |
|323       |ARRIVAL             |65        |-1        |
|327       |DEPARTURE           |28        |0         |
|327       |DEPARTURE           |58        |1         |
|327       |CONTEXT_SWITCH      |47        |0         |
|327       |CONTEXT_SWITCH      |48        |1         |
|328       |ARRIVAL             |58        |-1        |
|328       |ARRIVAL             |28        |-1        |
|332       |PREEMPTION          |53        |3         |
|332       |PREEMPTION          |54        |2         |
|332       |CONTEXT_SWITCH      |51        |3         |
|332       |CONTEXT_SWITCH      |52        |2         |
|337       |PREEMPTION          |47        |0         |
|337       |PREEMPTION          |48        |1         |
|337       |CONTEXT_SWITCH      |43        |0         |
|337       |CONTEXT_SWITCH      |44        |1         |
|342       |PREEMPTION          |51        |3         |
|342       |PREEMPTION          |52        |2         |
|342       |CONTEXT_SWITCH      |50        |3         |
|342       |CONTEXT_SWITCH      |49        |2         |
|347       |PREEMPTION          |43        |0         |
|347       |PREEMPTION          |44        |1         |
|347       |CONTEXT_SWITCH      |39        |0         |
|347       |CONTEXT_SWITCH      |40        |1         |
|352       |PREEMPTION          |50        |3         |
|352       |PREEMPTION          |49        |2         |
|352       |CONTEXT_SWITCH      |46        |3         |
|352       |CONTEXT_SWITCH      |45        |2         |
|357       |PREEMPTION          |39        |0         |
|357       |PREEMPTION          |40        |1         |
|357       |CONTEXT_SWITCH      |35        |0         |
|357       |CONTEXT_SWITCH      |36        |1         |
|362       |PREEMPTION          |46        |3         |
|362       |PREEMPTION          |45        |2         |
|362       |CONTEXT_SWITCH      |42        |3         |
|362       |CONTEXT_SWITCH      |41        |2         |
|367       |PREEMPTION          |35        |0         |
|367       |PREEMPTION          |36        |1         |
|367       |CONTEXT_SWITCH      |31        |0         |
|367       |CONTEXT_SWITCH      |32        |1         |
|372       |PREEMPTION          |42        |3         |
|372       |PREEMPTION          |41        |2         |
|372       |CONTEXT_SWITCH      |38        |3         |
|372       |CONTEXT_SWITCH      |37        |2         |
|377       |PREEMPTION          |31        |0         |
|377       |PREEMPTION          |32        |1         |
|377       |CONTEXT_SWITCH      |25        |0         |
|377       |CONTEXT_SWITCH      |26        |1         |
|382       |PREEMPTION          |38        |3         |
|382       |PREEMPTION          |37        |2         |
|382       |CONTEXT_SWITCH      |34        |3         |
|382       |CONTEXT_SWITCH      |33        |2         |
|387       |PREEMPTION          |25        |0         |
|387       |PREEMPTION          |26        |1         |
|387       |CONTEXT_SWITCH      |22        |0         |
|387       |CONTEXT_SWITCH      |24        |1         |
|392       |PREEMPTION          |34        |3         |
|392       |PREEMPTION          |33        |2         |
|392       |CONTEXT_SWITCH      |5         |3         |
|392       |CONTEXT_SWITCH      |12        |2         |
|397       |PREEMPTION          |22        |0         |
|397       |PREEMPTION          |24        |1         |
|397       |CONTEXT_SWITCH      |18        |0         |
|397       |CONTEXT_SWITCH      |19        |1         |
|402       |PREEMPTION          |5         |3         |
|402       |PREEMPTION          |12        |2         |
|402       |CONTEXT_SWITCH      |11        |3         |
|402       |CONTEXT_SWITCH      |23        |2         |
|407       |PREEMPTION          |18        |0         |
|407       |PREEMPTION          |19        |1         |
|407       |CONTEXT_SWITCH      |17        |0         |
|407       |CONTEXT_SWITCH      |16        |1         |
|412       |PREEMPTION          |11        |3         |
|412       |PREEMPTION          |23        |2         |
|412       |CONTEXT_SWITCH      |21        |3         |
|412       |CONTEXT_SWITCH      |20        |2         |
|417       |PREEMPTION          |17        |0         |
|417       |PREEMPTION          |16        |1         |
|417       |CONTEXT_SWITCH      |15        |0         |
|417       |CONTEXT_SWITCH      |1         |1         |
|422       |PREEMPTION          |21        |3         |
|422       |PREEMPTION          |20        |2         |
|422       |CONTEXT_SWITCH      |57        |3         |
|422       |CONTEXT_SWITCH      |27        |2         |
|427       |PREEMPTION          |15        |0         |
|427       |PREEMPTION          |1         |1         |
|427       |CONTEXT_SWITCH      |10        |0         |
|427       |CONTEXT_SWITCH      |4         |1         |
|432       |PREEMPTION          |57        |3         |
